,0
1376,627
1377,68
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,1310
1386,0
1387,0
1388,1501
1389,0
1390,0
1391,1484
1392,0
1393,682
1394,719
1395,0
1396,0
1397,0
1398,739
1399,0
1400,195
1401,0
1402,0
1403,0
1404,0
1405,0
1406,1456
1407,0
1408,0
1409,0
1410,0
1411,0
1412,821
1413,0
1414,0
1415,0
1416,0
1417,0
1418,0
1419,1048
1420,658
1421,0
1422,0
1423,0
1424,0
1425,0
1426,487
1427,0
1428,0
1429,0
1430,0
1431,0
1432,0
1433,0
1434,945
1435,0
1436,497
1437,0
1438,856
1439,0
1440,0
1441,0
1442,0
1443,0
1444,0
1445,653
1446,0
1447,0
1448,1080
1449,1278
1450,0
1451,495
1452,0
1453,0
1454,0
1455,0
1456,197
1457,0
1458,980
1459,1103
1460,0
1461,53
1462,0
1463,77
1464,19
1465,0
1466,128
1467,0
1468,0
1469,824
1470,0
1471,0
1472,0
1473,0
1474,582
1475,0
1476,10
1477,0
1478,1343
1479,0
1480,0
1481,0
1482,0
1483,0
1484,930
1485,754
1486,0
1487,439
1488,0
1489,0
1490,0
1491,1035
1492,504
1493,0
1494,1075
1495,0
1496,0
1497,0
1498,0
1499,0
1500,0
1501,0
1502,0
1503,0
1504,0
1505,0
1506,0
1507,1003
1508,0
1509,335
1510,0
1511,0
1512,1331
1513,691
1514,0
1515,655
1516,0
1517,923
1518,0
1519,0
1520,849
1521,0
1522,673
1523,177
1524,0
1525,0
1526,0
1527,0
1528,0
1529,0
1530,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,173
1538,0
1539,0
1540,0
1541,14
1542,0
1543,1465
1544,0
1545,0
1546,0
1547,0
1548,0
1549,0
1550,0
1551,0
1552,0
1553,0
1554,443
1555,0
1556,406
1557,970
1558,224
1559,0
1560,0
1561,177
1562,0
1563,0
1564,0
1565,0
1566,0
1567,0
1568,782
1569,0
1570,526
1571,0
1572,6
1573,0
1574,0
1575,337
1576,0
1577,1515
1578,0
1579,0
1580,1534
1581,0
1582,1308
1583,818
1584,0
1585,0
1586,0
1587,0
1588,0
1589,613
1590,1147
1591,0
1592,0
1593,639
1594,0
1595,0
1596,0
1597,0
1598,0
1599,0
1600,0
1601,0
1602,937
1603,0
1604,0
1605,0
1606,0
1607,0
1608,0
1609,0
1610,1214
1611,0
1612,489
1613,0
1614,0
1615,0
1616,0
1617,1453
1618,0
1619,0
1620,551
1621,0
1622,705
1623,0
1624,0
1625,0
1626,0
1627,0
1628,0
1629,0
1630,0
1631,998
1632,1095
1633,247
1634,0
1635,0
1636,0
1637,0
1638,173
1639,1325
1640,957
1641,102
1642,0
1643,0
1644,0
1645,0
1646,0
1647,0
1648,0
1649,0
1650,1195
1651,0
1652,1235
1653,0
1654,0
1655,0
1656,197
1657,57
1658,353
1659,0
1660,0
1661,0
1662,0
1663,0
1664,0
1665,0
1666,1516
1667,0
1668,0
1669,0
1670,0
1671,0
1672,0
1673,1415
1674,0
1675,0
1676,0
1677,0
1678,22
1679,0
1680,0
1681,0
1682,0
1683,0
1684,0
1685,1245
1686,244
1687,0
1688,813
1689,0
1690,0
1691,0
1692,794
1693,0
1694,0
1695,0
1696,0
1697,726
1698,0
1699,0
1700,0
1701,0
1702,33
1703,1285
1704,0
1705,906
1706,0
1707,252
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,661
1715,0
1716,786
1717,0
1718,0
1719,1133
1720,281
1721,153
1722,0
1723,0
1724,1381
1725,0
1726,0
1727,0
1728,1428
1729,1114
1730,148
1731,0
1732,0
1733,0
1734,518
1735,0
1736,281
1737,1519
1738,0
1739,0
1740,465
1741,0
1742,172
1743,805
1744,0
1745,0
1746,0
1747,1050
1748,0
1749,755
1750,627
1751,0
1752,0
1753,471
1754,1002
1755,0
1756,1267
1757,0
1758,0
1759,0
1760,0
1761,0
1762,0
1763,0
1764,0
1765,0
1766,98
1767,0
1768,1002
1769,0
1770,248
1771,520
1772,487
1773,0
1774,380
1775,0
1776,0
1777,1360
1778,1056
1779,250
1780,672
1781,0
1782,1167
1783,0
1784,0
1785,0
1786,0
1787,0
1788,827
1789,0
1790,0
1791,514
1792,0
1793,1209
1794,1288
1795,1155
1796,0
1797,0
1798,0
1799,0
1800,0
1801,0
1802,0
1803,0
1804,0
1805,699
1806,0
1807,0
1808,1011
1809,729
1810,799
1811,0
1812,0
1813,0
1814,0
1815,0
1816,6
1817,659
1818,0
1819,1174
1820,0
1821,522
1822,0
1823,0
1824,921
1825,0
1826,1410
1827,147
1828,0
1829,874
1830,0
1831,155
1832,0
1833,0
1834,0
1835,299
1836,324
1837,40
1838,0
1839,223
1840,0
1841,0
1842,0
1843,1142
1844,0
1845,0
1846,0
1847,0
1848,539
1849,0
1850,0
1851,1462
1852,0
1853,0
1854,1204
1855,0
1856,866
1857,1498
1858,0
1859,0
1860,0
1861,337
1862,0
1863,664
1864,0
1865,0
1866,0
1867,224
1868,987
1869,0
1870,0
1871,0
1872,472
1873,1061
1874,348
1875,0
1876,0
1877,107
1878,715
1879,0
1880,0
1881,0
1882,667
1883,205
1884,0
1885,0
1886,0
1887,25
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,364
1897,1060
1898,737
1899,0
1900,592
1901,610
1902,0
1903,0
1904,0
1905,15
1906,0
1907,0
1908,215
1909,0
1910,0
1911,423
1912,227
1913,1413
1914,0
1915,0
1916,699
1917,0
1918,1435
1919,681
1920,0
1921,0
1922,1403
1923,0
1924,6
1925,305
1926,0
1927,0
1928,0
1929,0
1930,0
1931,1004
1932,0
1933,520
1934,1315
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,176
1946,0
1947,0
1948,356
1949,1125
1950,0
1951,0
1952,734
1953,0
1954,0
1955,287
1956,996
1957,0
1958,0
1959,0
1960,0
1961,0
1962,648
1963,125
1964,1516
1965,0
1966,0
1967,0
1968,1352
1969,245
1970,159
1971,0
1972,0
1973,0
1974,0
1975,0
1976,0
1977,0
1978,1511
1979,0
1980,0
1981,422
1982,0
1983,0
1984,0
1985,0
1986,300
1987,0
1988,469
1989,0
1990,0
1991,0
1992,886
1993,0
1994,0
1995,0
1996,334
1997,972
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,172
2009,0
2010,0
2011,183
2012,0
2013,0
2014,0
2015,0
2016,0
2017,1142
2018,0
2019,0
2020,246
2021,1413
2022,0
2023,0
2024,372
2025,0
2026,0
2027,0
2028,626
2029,0
2030,0
2031,0
2032,0
2033,0
2034,0
2035,0
2036,0
2037,907
2038,0
2039,0
2040,0
2041,0
2042,0
2043,0
2044,0
2045,0
2046,1470
2047,1478
2048,0
2049,1278
2050,0
2051,0
2052,0
2053,0
2054,0
2055,981
2056,0
2057,0
2058,0
2059,0
2060,1075
2061,891
2062,0
2063,0
2064,1275
2065,0
2066,1204
2067,0
2068,0
2069,0
2070,1247
2071,1119
2072,394
2073,203
2074,0
2075,1489
2076,0
2077,554
2078,0
2079,432
2080,0
2081,0
2082,0
2083,151
2084,0
2085,0
2086,0
2087,0
2088,514
2089,0
2090,0
2091,996
2092,0
2093,1087
2094,0
2095,0
2096,856
2097,0
2098,0
2099,0
2100,0
2101,1464
2102,0
2103,284
2104,0
2105,407
2106,0
2107,0
2108,0
2109,0
2110,0
2111,0
2112,936
2113,0
2114,0
2115,515
2116,0
2117,0
2118,1440
2119,884
2120,0
2121,0
2122,0
2123,0
2124,522
2125,0
2126,926
2127,0
2128,0
2129,0
2130,1546
2131,1090
2132,1365
2133,354
2134,0
2135,0
2136,0
2137,0
2138,0
2139,172
2140,421
2141,217
2142,432
2143,0
2144,192
2145,868
2146,0
2147,0
2148,0
2149,16
2150,0
2151,1355
2152,0
2153,0
2154,0
2155,0
2156,0
2157,0
2158,0
2159,0
